,latitude,longitude,july_min,jan_max,prec,evap,soil,wind
227,-33.859,20.171,1.82,38.84,427.15,0.1,0.43,4.03
228,-33.90983333,21.788,4.23,35.73,305.86,0.03,0.41,4.22
229,-33.94016667,20.26916667,1.82,38.84,427.15,0.1,0.43,4.03
230,-34.0085,20.98066667,2.65,37.4,326.95,0.03,0.41,4.69
231,-33.94833333,21.13333333,2.65,37.4,326.95,0.03,0.41,4.69
232,-33.91916667,20.86116667,2.62,36.51,290.04,0.03,0.41,4.58
233,-33.97116667,20.35966667,2.62,36.51,290.04,0.03,0.41,4.58
234,-33.75133333,20.0425,1.82,38.84,427.15,0.1,0.43,4.03
235,-33.76083333,20.05866667,1.82,38.84,427.15,0.1,0.43,4.03
236,-33.88266667,22.44883333,7.26,30.83,348.05,0.08,0.43,2.07
237,-33.92516667,22.01283333,4.23,35.73,305.86,0.03,0.41,4.22
238,-33.93566667,20.90216667,2.62,36.51,290.04,0.03,0.41,4.58
239,-33.8775,21.95916667,4.23,35.73,305.86,0.03,0.41,4.22
240,-33.92466667,22.02566667,4.23,35.73,305.86,0.03,0.41,4.22
241,-33.9275,20.8565,2.62,36.51,290.04,0.03,0.41,4.58
242,-34.019,19.63933333,1.57,36.73,458.79,0.16,0.45,3.73
243,-33.9405,21.83983333,4.23,35.73,305.86,0.03,0.41,4.22
244,-33.92166667,21.87316667,4.23,35.73,305.86,0.03,0.41,4.22
245,-33.91033333,21.815,4.23,35.73,305.86,0.03,0.41,4.22
246,-33.95833333,20.301,1.82,38.84,427.15,0.1,0.43,4.03
247,-33.87616667,22.2995,7.26,30.83,348.05,0.08,0.43,2.07
248,-33.91783333,20.8585,2.62,36.51,290.04,0.03,0.41,4.58
249,-33.94783333,20.37083333,2.62,36.51,290.04,0.03,0.41,4.58
250,-33.98416667,20.38166667,2.62,36.51,290.04,0.03,0.41,4.58
251,-33.931,20.86983333,2.62,36.51,290.04,0.03,0.41,4.58
252,-33.878,20.20533333,1.82,38.84,427.15,0.1,0.43,4.03
253,-34.05733333,19.73533333,1.82,38.84,427.15,0.1,0.43,4.03
254,-34.07183333,19.77,1.82,38.84,427.15,0.1,0.43,4.03
255,-33.95566667,21.18983333,2.65,37.4,326.95,0.03,0.41,4.69
256,-33.73566667,19.85833333,-1.1,36.98,622.27,0.15,0.55,3.74
257,-33.984,20.38016667,2.62,36.51,290.04,0.03,0.41,4.58
258,-33.883,22.44,7.26,30.83,348.05,0.08,0.43,2.07
259,-33.92233333,20.85633333,2.62,36.51,290.04,0.03,0.41,4.58
260,-33.87516667,22.43,7.26,30.83,348.05,0.08,0.43,2.07
261,-33.97383333,20.3635,2.62,36.51,290.04,0.03,0.41,4.58
262,-33.85533333,22.078,4.23,35.73,305.86,0.03,0.41,4.22
263,-33.955,21.164,2.65,37.4,326.95,0.03,0.41,4.69
264,-33.94733333,21.1365,2.65,37.4,326.95,0.03,0.41,4.69
265,-33.88566667,21.9865,4.23,35.73,305.86,0.03,0.41,4.22
266,-34.087,19.97066667,1.82,38.84,427.15,0.1,0.43,4.03
267,-33.94733333,21.14083333,2.65,37.4,326.95,0.03,0.41,4.69
268,-33.9415,21.73383333,4.23,35.73,305.86,0.03,0.41,4.22
269,-33.86666667,21.9635,4.23,35.73,305.86,0.03,0.41,4.22
270,-33.88833333,21.98333333,4.23,35.73,305.86,0.03,0.41,4.22
271,-33.90516667,22.05533333,4.23,35.73,305.86,0.03,0.41,4.22
272,-33.865,21.95833333,4.23,35.73,305.86,0.03,0.41,4.22
273,-33.91266667,21.95,4.23,35.73,305.86,0.03,0.41,4.22
274,-33.928,20.85383333,2.62,36.51,290.04,0.03,0.41,4.58
275,-33.87283333,22.31,7.26,30.83,348.05,0.08,0.43,2.07
276,-33.8955,21.872,4.23,35.73,305.86,0.03,0.41,4.22
277,-33.86133333,22.2955,7.26,30.83,348.05,0.08,0.43,2.07
278,-33.87766667,22.2975,7.26,30.83,348.05,0.08,0.43,2.07
279,-33.87033333,22.31133333,7.26,30.83,348.05,0.08,0.43,2.07
280,-33.92033333,20.84833333,2.62,36.51,290.04,0.03,0.41,4.58
281,-33.935,20.90416667,2.62,36.51,290.04,0.03,0.41,4.58
282,-33.94916667,20.35533333,2.62,36.51,290.04,0.03,0.41,4.58
283,-33.96933333,21.3015,2.65,37.4,326.95,0.03,0.41,4.69
284,-33.96983333,21.30433333,2.65,37.4,326.95,0.03,0.41,4.69
285,-33.97383333,20.3115,1.82,38.84,427.15,0.1,0.43,4.03
286,-33.97516667,20.314,2.62,36.51,290.04,0.03,0.41,4.58
287,-33.88,22.43166667,7.26,30.83,348.05,0.08,0.43,2.07
288,-33.93516667,20.9025,2.62,36.51,290.04,0.03,0.41,4.58
289,-33.92633333,20.85583333,2.62,36.51,290.04,0.03,0.41,4.58
290,-33.9275,20.85583333,2.62,36.51,290.04,0.03,0.41,4.58
291,-33.9275,20.85483333,2.62,36.51,290.04,0.03,0.41,4.58
292,-34.019,19.64266667,1.57,36.73,458.79,0.16,0.45,3.73
293,-34.01083333,19.61333333,1.57,36.73,458.79,0.16,0.45,3.73
294,-33.92316667,20.85483333,2.62,36.51,290.04,0.03,0.41,4.58
295,-33.88016667,22.44216667,7.26,30.83,348.05,0.08,0.43,2.07
296,-33.88233333,22.44516667,7.26,30.83,348.05,0.08,0.43,2.07
297,-33.95616667,21.21383333,2.65,37.4,326.95,0.03,0.41,4.69
298,-33.99733333,20.458,2.62,36.51,290.04,0.03,0.41,4.58
