,latitude,longitude,july_min,jan_max,prec,evap,soil,wind
324,-33.97083333,18.42,11.12,25.9,374.41,0.22,0.34,3.64
325,-34.02833333,22.97166667,6.64,31.46,369.14,0.1,0.43,1.43
326,-34.73666667,19.8975,5.49,30.49,374.41,0.13,0.4,4.09
327,-33.15133333,19.15233333,-1.39,35.69,564.26,0.2,0.49,3.73
328,-34.535,19.92,5.49,30.49,374.41,0.13,0.4,4.09
329,-34.5385,19.91566667,5.49,30.49,374.41,0.13,0.4,4.09
330,-34.39166667,19.33666667,6.87,29.51,363.87,0.14,0.41,3.67
331,-34.3875,19.34,6.87,29.51,363.87,0.14,0.41,3.67
332,-34.188,19.16333333,1.57,36.73,458.79,0.16,0.45,3.73
333,-33.3715,19.2705,0.23,36.51,527.34,0.21,0.47,3.48
334,-34.19233333,19.56133333,1.57,36.73,458.79,0.16,0.45,3.73
335,-34.21683333,18.45,6.06,33.55,506.25,0.19,0.45,3.49
336,-34.0955,18.43466667,11.12,25.9,374.41,0.22,0.34,3.64
337,-34.123,19.10566667,1.57,36.73,458.79,0.16,0.45,3.73
338,-34.14916667,18.92366667,6.06,33.55,506.25,0.19,0.45,3.49
339,-34.188,19.1735,1.57,36.73,458.79,0.16,0.45,3.73
340,-34.18983333,19.17816667,1.57,36.73,458.79,0.16,0.45,3.73
341,-34.19666667,19.16833333,1.57,36.73,458.79,0.16,0.45,3.73
342,-33.93333333,20.9,2.62,36.51,290.04,0.03,0.41,4.58
343,-33.69333333,19.11,0.23,36.51,527.34,0.21,0.47,3.48
344,-34.1005,18.45966667,6.06,33.55,506.25,0.19,0.45,3.49
345,-34.03783333,18.321,11.12,25.9,374.41,0.22,0.34,3.64
346,-33.97833333,18.41983333,11.12,25.9,374.41,0.22,0.34,3.64
347,-33.6,24.535,0.54,42.04,453.52,0.14,0.44,3.92
348,-34.33766667,18.94466667,10.17,24.48,474.61,0.22,0.42,3.61
349,-33.853,23.648,8.42,29.69,390.23,0.17,0.44,2.8
350,-34.33166667,19.26,6.87,29.51,363.87,0.14,0.41,3.67
351,-34.15333333,18.365,11.12,25.9,374.41,0.22,0.34,3.64
352,-33.874,22.40583333,7.26,30.83,348.05,0.08,0.43,2.07
353,-33.71333333,19.12333333,0.23,36.51,527.34,0.21,0.47,3.48
354,-34.25633333,18.89366667,10.17,24.48,474.61,0.22,0.42,3.61
355,-34.26616667,18.90433333,10.17,24.48,474.61,0.22,0.42,3.61
356,-34.077,18.38083333,11.12,25.9,374.41,0.22,0.34,3.64
357,-34.0625,18.38233333,11.12,25.9,374.41,0.22,0.34,3.64
358,-34.10233333,18.44033333,6.06,33.55,506.25,0.19,0.45,3.49
359,-34.214,18.451,6.06,33.55,506.25,0.19,0.45,3.49
360,-34.2605,18.90366667,10.17,24.48,474.61,0.22,0.42,3.61
361,-34.39333333,19.34666667,6.87,29.51,363.87,0.14,0.41,3.67
362,-34.39333333,19.31666667,6.87,29.51,363.87,0.14,0.41,3.67
